                       Results                
------------------------------------------------------
      (X,Y)     Disp X    Disp Y  Temp Pressure Tract. X   Tract. Y Thermflux Flowrate
Time = 0.000000 year
(   2.50000,    0.00000)         0.00000         0.00000       283.00000         0.00000        -0.00129        -0.00042         0.00000         0.00066 
(   7.50000,    0.00000)         0.01130         0.00025       283.00000         0.00000         0.00000         0.00000         0.00000         0.00081 
(  10.00000,    2.50000)         0.01542         0.00091       283.00000         0.00000         0.00000         0.00000         0.00000        -0.00106 
(  10.00000,    7.50000)         0.01925         0.01612       283.00000         0.00000         0.00000         0.00000         0.00000        -0.00092 
(   7.50000,   10.00000)         0.01612         0.01925       283.00000         0.00000         0.00000         0.00000         0.00000        -0.00092 
(   2.50000,   10.00000)         0.00091         0.01542       283.00000         0.00000         0.00000         0.00000         0.00000        -0.00106 
(   0.00000,    7.50000)         0.00025         0.01130       283.00000         0.00000         0.00000         0.00000         0.00000         0.00081 
(   0.00000,    2.50000)         0.00000         0.00000       283.00000         0.00000        -0.00042        -0.00129         0.00000         0.00066 
       	Interior Points Displacement    
      (Xi,Yi)   Disp X   Disp Y  
(   1.00000,   1.00000)        -0.00157        -0.00157       283.00000         0.00011
(   2.00000,   2.00000)        -0.00263        -0.00263       283.00000         0.00060
(   3.00000,   3.00000)        -0.00608        -0.00608       283.00000         0.00104
(   4.00000,   4.00000)        -0.01697        -0.01697       283.00027         0.00160
(   5.00000,   5.00000)        -0.00291        -0.00291       284.96298         0.00193
(   6.00000,   6.00000)         0.03666         0.03666       283.00283         0.00186
(   7.00000,   7.00000)         0.02247         0.02247       283.00000         0.00111
(   8.00000,   8.00000)         0.01887         0.01887       283.00000         0.00052
(   9.00000,   9.00000)         0.01887         0.01887       283.00000         0.00014
       	Interior Points Stress    
      (Xi,Yi)   Stress X   Stress Y  
(   1.00000,   1.00000)         0.00034         0.00198         0.00034         0.00000         0.00000         0.00000         0.00000
(   2.00000,   2.00000)         0.00070         0.00115         0.00070         0.00000         0.00000         0.00000         0.00000
(   3.00000,   3.00000)         0.00097         0.00023         0.00097         0.00000         0.00000         0.00000         0.00000
(   4.00000,   4.00000)         0.00110         0.00026         0.00110         0.00000         0.00000         0.00000         0.00000
(   5.00000,   5.00000)         0.00116         0.00050         0.00116         0.00000         0.00000         0.00000         0.00000
(   6.00000,   6.00000)         0.00127         0.00045         0.00127         0.00000         0.00000         0.00000         0.00000
(   7.00000,   7.00000)         0.00141         0.00064         0.00141         0.00000         0.00000         0.00000         0.00000
(   8.00000,   8.00000)         0.00158         0.00224         0.00158         0.00000         0.00000         0.00000         0.00000
(   9.00000,   9.00000)         0.00212         0.00345         0.00212         0.00000         0.00000         0.00000         0.00000
Time = 0.000000 year
(   2.50000,    0.00000)         0.00000         0.00000       283.00005         0.00000        -0.01341        -0.00121         0.00000         0.01471 
(   7.50000,    0.00000)         0.12113         0.00114       283.00006         0.00000         0.00000         0.00000         0.00000         0.01639 
(  10.00000,    2.50000)         0.16028         0.01070       283.00008         0.00000         0.00000         0.00000         0.00000        -0.01590 
(  10.00000,    7.50000)         0.19367         0.16390       283.00011         0.00000         0.00000         0.00000         0.00000        -0.01413 
(   7.50000,   10.00000)         0.16390         0.19367       283.00011         0.00000         0.00000         0.00000         0.00000        -0.01413 
(   2.50000,   10.00000)         0.01070         0.16028       283.00008         0.00000         0.00000         0.00000         0.00000        -0.01590 
(   0.00000,    7.50000)         0.00114         0.12113       283.00006         0.00000         0.00000         0.00000         0.00000         0.01639 
(   0.00000,    2.50000)         0.00000         0.00000       283.00005         0.00000        -0.00121        -0.01341         0.00000         0.01471 
       	Interior Points Displacement    
      (Xi,Yi)   Disp X   Disp Y  
(   1.00000,   1.00000)        -0.01638        -0.01638       283.00004         0.00196
(   2.00000,   2.00000)        -0.02594        -0.02594       283.00115         0.02129
(   3.00000,   3.00000)        -0.04669        -0.04669       283.02940         0.03909
(   4.00000,   4.00000)        -0.03848        -0.03848       283.35797         0.05045
(   5.00000,   5.00000)         0.06661         0.06661       286.75999         0.05469
(   6.00000,   6.00000)         0.18239         0.18239       283.55233         0.05319
(   7.00000,   7.00000)         0.20883         0.20883       283.05113         0.04020
(   8.00000,   8.00000)         0.19582         0.19582       283.00236         0.01911
(   9.00000,   9.00000)         0.20132         0.20132       283.00008        -0.00249
       	Interior Points Stress    
      (Xi,Yi)   Stress X   Stress Y  
(   1.00000,   1.00000)         0.00326         0.02053         0.00326         0.00000         0.00000         0.00000         0.00000
(   2.00000,   2.00000)         0.00819         0.01199         0.00819         0.00000         0.00000         0.00000         0.00000
(   3.00000,   3.00000)         0.01218         0.00241         0.01218         0.00000         0.00000         0.00000         0.00000
(   4.00000,   4.00000)         0.01414         0.00210         0.01414         0.00000         0.00000         0.00000         0.00000
(   5.00000,   5.00000)         0.01534         0.00427         0.01534         0.00000         0.00000         0.00000         0.00000
(   6.00000,   6.00000)         0.01673         0.00397         0.01673         0.00000         0.00000         0.00000         0.00000
(   7.00000,   7.00000)         0.01838         0.00573         0.01838         0.00000         0.00000         0.00000         0.00000
(   8.00000,   8.00000)         0.02417         0.01952         0.02417         0.00000         0.00000         0.00000         0.00000
(   9.00000,   9.00000)         0.03934         0.02180         0.03934         0.00000         0.00000         0.00000         0.00000
Time = 0.000003 year
(   2.50000,    0.00000)         0.00000         0.00000       283.63800         0.00000        -0.07475         0.02031         0.00000         0.15391 
(   7.50000,    0.00000)         0.77254         0.03231       283.67213         0.00000         0.00000         0.00000         0.00000         0.16380 
(  10.00000,    2.50000)         0.93432         0.11869       283.69138         0.00000         0.00000         0.00000         0.00000        -0.14459 
(  10.00000,    7.50000)         1.02327         0.89986       283.72887         0.00000         0.00000         0.00000         0.00000        -0.12728 
(   7.50000,   10.00000)         0.89986         1.02327       283.72887         0.00000         0.00000         0.00000         0.00000        -0.12728 
(   2.50000,   10.00000)         0.11869         0.93432       283.69138         0.00000         0.00000         0.00000         0.00000        -0.14459 
(   0.00000,    7.50000)         0.03231         0.77254       283.67213         0.00000         0.00000         0.00000         0.00000         0.16380 
(   0.00000,    2.50000)         0.00000         0.00000       283.63800         0.00000         0.02031        -0.07475         0.00000         0.15391 
       	Interior Points Displacement    
      (Xi,Yi)   Disp X   Disp Y  
(   1.00000,   1.00000)        -0.09651        -0.09651       283.63153         0.02186
(   2.00000,   2.00000)         0.00569         0.00569       283.78658         0.27269
